,JCI,SP500,SSE,VIX,WTI,Gold,USDIDR
JCI,44.785435726129435,7.584747482717034,9.304076069608167,7.283825666998406,11.367082032750604,7.749626973457297,11.925206048338877
SP500,7.4725263827188915,42.77561084237213,9.810518577010905,10.118548814061018,11.357857558169862,7.6465504067208245,10.818387418946278
SSE,7.964217690430227,6.933543494349954,48.79630378648445,6.170159674629035,11.004040901207555,8.037296534730528,11.094437918168234
VIX,7.648119495351001,7.527047635166128,9.09209701135671,47.280626506931,10.203281410556636,7.657341205611684,10.591486735026827
WTI,7.7587295287918465,7.602156093809019,8.62413691928701,6.636030502398945,50.33621121375115,8.207573572971901,10.83516216899001
Gold,7.938180652774637,7.382369176209785,9.157267989863051,6.906466562015545,11.832655151765318,45.02209923019386,11.760961237178037
USDIDR,7.981947992593169,7.493183894962261,8.938994042384817,7.211390337819605,10.382038751330732,8.37732284979662,49.61512213111266
