horizon,ml_model,ml_pr_auc,dl_model,dl_pr_auc,hybrid_score
60,RF,0.7246903998549286,ALSTM,0.7251943090480572,0.7249423544514928
40,RF,0.6429072789536716,ALSTM,0.6601823923066339,0.6515448356301528
