,State 0,State 1,State 2,State 3,State 4
State 0,0.9927305544376905,3.8079189458688203e-239,0.0,0.007269445562309459,0.0
State 1,1.2883203072687578e-193,0.9915307173036577,0.002117140395943669,0.00423496579870709,0.0021171765016914455
State 2,0.0,0.00605309862928614,0.9939469013707137,0.0,0.0
State 3,0.004441402402099639,0.0006331278968346175,0.0,0.9949254697010658,0.0
State 4,0.0,0.0026393247125931175,0.0,0.0,0.9973606752874068
