Date,z1,z2,z3,z4
2002-08-06,0.037710838,-0.0041248985,-0.00095724966,-0.0016673822
2002-08-07,0.037428744,-0.004367836,-0.0011422159,-0.0016582981
2002-08-08,0.037176408,-0.0046726763,-0.0011841813,-0.0016225372
2002-08-09,0.03696483,-0.0050084814,-0.0011074087,-0.0015783571
2002-08-12,0.036853448,-0.0054081827,-0.00084799435,-0.0015312005
2002-08-13,0.036878936,-0.005802162,-0.00049659703,-0.0014967714
2002-08-14,0.036994714,-0.006243415,-2.8944574e-05,-0.0014728922
2002-08-15,0.037163608,-0.006724607,0.00048400834,-0.0014607571
2002-08-16,0.03738654,-0.007308714,0.0011838293,-0.0014583562
2002-08-19,0.037531033,-0.007945925,0.0019836137,-0.0014532432
2002-08-20,0.037607267,-0.008656137,0.0029018065,-0.0014565829
2002-08-21,0.037593003,-0.009346709,0.0038304245,-0.0014618281
2002-08-22,0.037478197,-0.009841487,0.0046102693,-0.0014660247
2002-08-23,0.03730086,-0.010127805,0.0053355033,-0.0014712904
2002-08-26,0.03711299,-0.010300055,0.006205964,-0.0014722757
2002-08-27,0.036904883,-0.01042857,0.007308376,-0.0014630612
2002-08-28,0.036625158,-0.010524392,0.00859852,-0.0014303233
2002-08-29,0.036225952,-0.010557029,0.0099707125,-0.0013817586
2002-08-30,0.035673328,-0.01036739,0.011176028,-0.0013407599
2002-09-02,0.035108924,-0.010018364,0.012310374,-0.0013097618
2002-09-03,0.03456895,-0.009414472,0.013274756,-0.001281511
2002-09-04,0.03413341,-0.00854972,0.014052439,-0.0012732688
2002-09-05,0.033719853,-0.0077281706,0.014880645,-0.0012804754
2002-09-06,0.03341445,-0.0071561486,0.01586061,-0.0013215095
2002-09-09,0.033087455,-0.006752901,0.016919408,-0.0013727248
2002-09-10,0.032771625,-0.0065415725,0.018049572,-0.0014374312
2002-09-11,0.032454394,-0.006467879,0.019261695,-0.0015158001
2002-09-12,0.032148033,-0.006435618,0.020515405,-0.0016063191
2002-09-13,0.031796418,-0.0064637214,0.021812975,-0.0016924776
2002-09-16,0.03138256,-0.006444536,0.023074456,-0.0017590541
2002-09-17,0.030852458,-0.006299965,0.024187692,-0.0017912257
2002-09-18,0.030218061,-0.006088298,0.025254678,-0.001806153
2002-09-19,0.029514858,-0.005631048,0.026122488,-0.0018024519
2002-09-20,0.028828999,-0.0050074533,0.026870172,-0.0018050913
2002-09-23,0.028333455,-0.0042883754,0.027523797,-0.0018694606
2002-09-24,0.02806263,-0.0035601556,0.028236024,-0.00197321
2002-09-25,0.027981335,-0.0028314292,0.029031102,-0.002107175
2002-09-26,0.028005525,-0.0022801831,0.030059237,-0.0022299457
2002-09-27,0.028067298,-0.001828894,0.031232547,-0.0023208559
2002-09-30,0.028112428,-0.0014470667,0.032475658,-0.002383886
2002-10-01,0.02812783,-0.0010968857,0.03361978,-0.002424797
2002-10-02,0.027950618,-0.00087478757,0.03476662,-0.0024256594
2002-10-03,0.027501728,-0.00077507645,0.03589328,-0.0023728367
2002-10-04,0.02676305,-0.0007368848,0.03688844,-0.002268562
2002-10-07,0.0257342,-0.0007439852,0.037623502,-0.002123082
2002-10-08,0.024590133,-0.0008089766,0.03832073,-0.0019813143
