Date,Open,High,Low,Close,Volume
2002-01-02,10435.0,10575.0,10295.0,10415.0,0
2002-01-03,10358.0,10500.0,10258.0,10375.0,0
2002-01-04,10428.0,10600.0,10195.0,10428.0,0
2002-01-07,10390.0,10528.0,10290.0,10390.0,0
2002-01-08,10423.0,10523.0,10323.0,10423.0,0
2002-01-09,10433.0,10538.0,10320.0,10420.0,0
2002-01-10,10433.0,10538.0,10325.0,10430.0,0
2002-01-11,10427.0,10527.0,10327.0,10427.0,0
2002-01-14,10408.0,10580.0,10305.0,10405.0,0
2002-01-15,10393.0,10493.0,10293.0,10393.0,0
2002-01-16,10375.0,10486.0,10275.0,10386.0,0
2002-01-17,10400.0,10505.0,10296.0,10396.0,0
2002-01-18,10390.0,10496.0,10288.0,10396.0,0
2002-01-21,10383.0,10505.0,10283.0,10385.0,0
2002-01-22,10385.0,10580.0,10285.0,10396.0,0
2002-01-23,10398.0,10501.0,10285.0,10400.0,0
2002-01-24,10475.0,10575.0,10285.0,10385.0,0
2002-01-25,10453.0,10560.0,10335.0,10435.0,0
2002-01-28,10405.0,10535.0,10285.0,10385.0,0
2002-01-29,10305.0,10430.0,10195.0,10295.0,0
2002-01-30,10313.0,10427.0,10210.0,10325.0,0
2002-01-31,10320.0,10420.0,10215.0,10315.0,0
2002-02-01,10325.0,10440.0,10225.0,10325.0,0
2002-02-04,10320.0,10435.0,10215.0,10315.0,0
2002-02-05,10308.0,10410.0,10205.0,10306.0,0
2002-02-06,10305.0,10430.0,10203.0,10325.0,0
2002-02-07,10285.0,10410.0,10170.0,10270.0,0
2002-02-08,10270.0,10385.0,10150.0,10250.0,0
2002-02-11,10193.0,10350.0,10093.0,10210.0,0
2002-02-12,10175.0,10280.0,10065.0,10175.0,0
2002-02-13,10183.0,10288.0,10071.0,10188.0,0
2002-02-14,10233.0,10365.0,10120.0,10230.0,0
2002-02-15,10240.0,10355.0,10140.0,10247.0,0
2002-02-18,10245.0,10360.0,10135.0,10235.0,0
2002-02-19,10200.0,10305.0,10085.0,10185.0,0
2002-02-20,10178.0,10292.0,10078.0,10187.0,0
2002-02-21,10188.0,10305.0,10078.0,10205.0,0
