Date,Open,High,Low,Close,Volume
2001-12-31,1641.428,1649.8,1638.316,1645.9709,0
2002-01-04,1643.485,1643.5,1608.829,1611.3929,0
2002-01-07,1605.741,1605.741,1584.656,1596.76,0
2002-01-08,1594.8669,1607.722,1582.448,1583.4611,0
2002-01-09,1580.7111,1580.72,1552.558,1561.349,0
2002-01-10,1556.7371,1580.007,1523.663,1576.437,0
2002-01-11,1574.261,1574.2679,1535.2841,1535.593,0
2002-01-14,1519.932,1519.932,1484.464,1485.108,0
2002-01-15,1475.338,1491.703,1458.02,1459.653,0
2002-01-16,1458.843,1482.178,1439.4,1479.619,0
2002-01-17,1476.358,1476.3781,1416.302,1419.519,0
2002-01-18,1405.55,1434.9659,1376.8879,1415.438,0
2002-01-21,1406.9969,1412.212,1362.618,1366.968,0
2002-01-22,1360.2939,1400.76,1348.7889,1358.691,0
2002-01-23,1355.863,1445.696,1346.173,1444.965,0
2002-01-24,1435.319,1478.54,1400.354,1456.4041,0
2002-01-25,1449.882,1464.902,1442.939,1451.484,0
2002-01-28,1444.501,1448.603,1357.55,1359.549,0
2002-01-29,1343.358,1396.108,1339.2,1392.775,0
2002-01-30,1392.95,1408.05,1381.007,1396.605,0
2002-01-31,1413.224,1501.33,1413.222,1491.665,0
2002-02-01,1494.577,1507.639,1480.77,1485.77,0
2002-02-04,1485.676,1513.671,1476.1331,1511.327,0
2002-02-05,1510.567,1522.324,1502.0861,1518.28,0
2002-02-06,1517.813,1521.558,1484.2469,1485.802,0
2002-02-07,1482.3571,1521.027,1481.068,1515.394,0
2002-02-08,1520.717,1530.126,1506.069,1506.615,0
2002-02-25,1540.493,1544.574,1521.66,1530.2841,0
2002-02-26,1529.376,1531.717,1507.575,1531.4301,0
2002-02-27,1531.317,1544.921,1524.6851,1538.319,0
2002-02-28,1537.926,1544.394,1521.083,1524.701,0
2002-03-01,1521.528,1521.567,1501.556,1502.54,0
2002-03-04,1497.827,1527.4,1494.834,1526.804,0
2002-03-05,1529.298,1566.066,1529.298,1560.079,0
2002-03-06,1564.694,1594.667,1563.923,1569.208,0
2002-03-07,1569.172,1613.256,1569.073,1613.001,0
2002-03-08,1622.869,1645.292,1611.228,1640.256,0
2002-03-11,1643.59,1664.519,1632.615,1664.094,0
2002-03-12,1665.2371,1672.0389,1641.583,1643.692,0
2002-03-13,1636.9449,1655.634,1621.797,1623.432,0
2002-03-14,1621.079,1665.785,1621.079,1665.151,0
2002-03-15,1671.825,1676.506,1620.562,1620.976,0
2002-03-18,1641.429,1657.678,1610.993,1623.884,0
2002-03-19,1624.319,1665.6219,1624.29,1665.3571,0
2002-03-20,1673.265,1686.105,1664.368,1682.51,0
2002-03-21,1686.946,1693.873,1675.245,1685.017,0
2002-03-22,1684.071,1684.4611,1659.516,1669.694,0
2002-03-25,1667.853,1677.045,1663.395,1675.2889,0
2002-03-26,1674.704,1675.21,1641.9139,1649.484,0
2002-03-27,1646.679,1655.176,1635.816,1654.231,0
2002-03-28,1653.983,1666.515,1645.34,1650.673,0
2002-03-29,1648.087,1648.087,1596.254,1603.905,0
2002-04-01,1598.026,1609.917,1589.407,1608.506,0
2002-04-02,1608.519,1610.7271,1575.972,1582.8831,0
2002-04-03,1582.744,1603.798,1582.672,1594.5081,0
2002-04-04,1595.0179,1643.54,1583.634,1641.699,0
2002-04-05,1650.504,1657.094,1628.546,1634.6429,0
2002-04-08,1633.8311,1643.676,1631.067,1640.65,0
2002-04-09,1641.847,1671.863,1640.692,1667.522,0
2002-04-10,1670.802,1677.938,1663.473,1677.658,0
2002-04-11,1679.3409,1680.298,1649.269,1649.53,0
2002-04-12,1648.454,1664.415,1648.454,1658.979,0
2002-04-15,1660.572,1664.524,1638.6379,1649.5,0
2002-04-16,1647.5081,1654.744,1635.751,1640.285,0
2002-04-17,1641.724,1649.433,1630.228,1644.395,0
2002-04-18,1644.147,1646.252,1626.0341,1628.137,0
2002-04-19,1625.249,1635.5291,1603.9561,1635.172,0
2002-04-22,1633.642,1637.1851,1619.158,1627.48,0
2002-04-23,1626.63,1634.863,1621.866,1624.546,0
2002-04-24,1623.468,1626.385,1609.205,1611.051,0
2002-04-25,1609.936,1616.7629,1603.637,1615.9189,0
2002-04-26,1615.519,1643.153,1615.519,1640.589,0
2002-04-29,1643.549,1667.1591,1640.559,1665.812,0
2002-04-30,1668.313,1673.75,1657.817,1667.749,0
2002-05-08,1669.871,1670.917,1651.691,1652.368,0
2002-05-09,1648.46,1659.252,1646.816,1650.578,0
2002-05-10,1650.913,1652.288,1636.86,1638.198,0
2002-05-13,1634.901,1634.916,1618.464,1623.9399,0
2002-05-14,1622.3311,1629.881,1613.554,1616.231,0
2002-05-15,1614.9,1618.14,1597.916,1598.354,0
2002-05-16,1592.236,1592.2371,1546.941,1549.501,0
2002-05-17,1549.083,1570.149,1540.576,1567.4969,0
2002-05-20,1564.968,1564.9821,1529.348,1541.53,0
2002-05-21,1575.022,1599.113,1564.546,1588.108,0
2002-05-22,1590.7939,1591.0341,1563.1639,1564.489,0
2002-05-23,1571.075,1585.7419,1568.104,1571.611,0
2002-05-24,1572.938,1574.134,1544.423,1549.4659,0
2002-05-27,1555.042,1562.6331,1545.6219,1555.048,0
2002-05-28,1557.624,1569.411,1557.2321,1558.524,0
2002-05-29,1558.131,1558.145,1520.125,1524.806,0
2002-05-30,1524.218,1530.7729,1506.542,1523.522,0
2002-05-31,1523.014,1532.0341,1513.257,1515.733,0
2002-06-03,1510.2469,1510.259,1480.085,1483.348,0
2002-06-04,1484.0081,1498.051,1474.363,1490.514,0
2002-06-05,1491.074,1491.074,1460.481,1462.0,0
